Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;1;Serviço;931500-21/2026;Serviços na locação de veículo para a Câmara Municipal;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;180000,0000;0,0000;27/02/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;2;Serviço;931500-20/2026;Prestação de serviços na manutenção e conservação do edifício sede da Câmara Municipal de Pacatuba/C;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;200000,0000;0,0000;31/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;3;Serviço;931500-19/2026;serviços técnicos especializados de consultoria destinado ao exercício do controle externo;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;144000,0000;0,0000;30/04/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;4;Serviço;931500-18/2026;Prestação de serviços na adequação do poço para instalação de elevador junto a Câmara Municipal;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;60000,0000;0,0000;31/07/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;5;Serviço;931500-17/2026;Prestação de serviços na adequação e acessibilidade à adaptação de ambientes para garantir;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;60000,0000;0,0000;31/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;6;Serviço;931500-16/2026;Contratação na prestação de serviços na realização da II Corrida Legislativa Outubro Rosa e Novembr;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;64000,0000;0,0000;30/04/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;7;Serviço;931500-15/2026;serviços técnicos especializados de consultoria destinado ao exercício do controle externo;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;64000,0000;0,0000;30/04/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;8;Serviço;931500-14/2026;Prestação de serviços de monitoramento eletrônico com equipamentos;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;84000,0000;0,0000;27/02/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;9;Serviço;931500-13/2026;Prestação de serviços técnicos de consultoria e assessoria para planejamento, implantação.;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;120000,0000;0,0000;30/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;10;Serviço;931500-12/2026;serviços técnicos especializados de consultoria destinado ao exercício do controle externo;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;90000,0000;0,0000;29/06/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;11;Serviço;931500-11/2026;serviços de manutenção de ar-condicionado;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;144000,0000;0,0000;27/02/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;12;Serviço;931500-10/2026;serviços técnicos especializados de consultoria destinado ao exercício do controle externo;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;30000,0000;0,0000;30/04/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;13;Serviço;931500-9/2026;serviços de consultoria técnica parlamentar junto a Câmara Municipal de Pacatuba/CE;Catálogo do Compras.gov.br;Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;;;-;0,0000;0,0000;144000,0000;0,0000;31/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;14;Serviço;931500-8/2026;serviços técnicos especializados de consultoria destinado ao exercício do controle externo;Catálogo do Compras.gov.br;Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;;;-;0,0000;0,0000;168000,0000;0,0000;30/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;15;Soluções de TIC;931500-7/2026;Contratação de empresa especializada em gestão T.I.C (Tecnologia da informação e comunicação);Catálogo do Compras.gov.br;Serviço;166;SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC;;;;;-;0,0000;0,0000;456000,0000;0,0000;31/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;16;Material;931500-6/2026;Aquisição de material de limpeza;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;64000,0000;0,0000;30/04/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;17;Material;931500-5/2026;Aquisição de material de limpeza.;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;64000,0000;0,0000;29/05/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;18;Material;931500-4/2026;Aquisição de material de expediente para atender as necessidades da Câmara Municipal de Pacatuba/CE;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;64000,0000;0,0000;31/03/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;19;Material;931500-3/2026;Aquisição de equipamentos e material permanente;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;300000,0000;0,0000;30/06/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;20;Serviço;931500-2/2026;Aquisição de combustível;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;100000,0000;0,0000;27/02/2026
CÂMARA MUNICIPAL DE PACATUBA/CE;931500;21;Material;931500-1/2026;Aquisição de elevador;Catálogo do Compras.gov.br;Material;3960;ELEVADORES E ESCADAS ROLANTES;;;;;-;0,0000;0,0000;300000,0000;0,0000;30/06/2026
