Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
LEGISLATIVO DE CARLOS BARBOSA/RS;1;23025;Material;;;Catálogo do Compras.gov.br;Material;2036;OUTROS;;;101942;ASSENTO SANITRIO;UN;2,0000;59,0000;118,0000;118,0000;30/05/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20425;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100197;CHOCOLATE;UN;30,0000;65,0000;1950,0000;1950,0000;30/09/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21821;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;100168;CAPACITOR;UN;9,0000;90,0000;810,0000;810,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21822;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101117;COMPRESSOR;UN;4,0000;900,0000;3600,0000;3600,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21823;Material;;;Catálogo do Compras.gov.br;Material;100;MATERIAIS DE CONSUMO;;;101118;MOTOR;UN;9,0000;600,0000;5400,0000;5400,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21398;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100844;SERVIO DE GRFICA;UN;20,0000;6,0000;120,0000;120,0000;10/02/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21824;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;4,0000;400,0000;1600,0000;1600,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21825;Material;;;Catálogo do Compras.gov.br;Material;300;AUTOPEÇAS;;;100771;SERPENTINA;UN;1,0000;1600,0000;1600,0000;1600,0000;10/12/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20390;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;100625;PERFURADOR;UN;1,0000;100,0000;100,0000;100,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;20191;Material;;;Catálogo do Compras.gov.br;Material;600;MATERIAL DE EXPEDIENTE;;;101138;SACO PLSTICO;UN;300,0000;0,5500;165,0000;165,0000;30/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;22636;Material;;;Catálogo do Compras.gov.br;Material;2015;MATERIAL GRÁFICO;;;100649;PLACA;UN;4,0000;750,0000;3000,0000;3000,0000;15/11/2025
LEGISLATIVO DE CARLOS BARBOSA/RS;1;21826;Serviço;;;Catálogo do Compras.gov.br;Serviço;800;SERVIÇOS DE TERCEIROS;;;100862;SERVIO DE MANUTENO;UN;9,0000;600,0000;5400,0000;5400,0000;10/12/2025
