Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;39;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;3060917447;Mouse c/ fio USB óptico;;;;;UNIDADE;10,0000;18,9551;189,5517;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;40;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;2091675359;Mouse Pad - de tecido preto, ergonomico gel.;;;;;UNIDADE;3,0000;57,1683;171,5050;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;41;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;111890919;Papel autoadesivo tipo contact, transparente, rolo com 45 cm.;;;;;UNIDADE;3,0000;68,3617;205,0853;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;42;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;2742409369;Papel interfolhado com 2000 folhas -mãos.;;;;;ROLO;5,0000;34,2565;171,2829;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;43;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;3670325614;Papel Ofício A4, alcalino.;;;;;RESMAS;200,0000;23,7797;4755,9535;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;44;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;1436230522;Papel Sulfite colorido. Pacote com 100 folhas, cores diversas.;;;;;UNIDADE;4,0000;6,1064;24,4257;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;45;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;3382271016;Papel Vergê dimensão 210x297mm;;;;;PACOTE;3,0000;13,5855;40,7566;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;46;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;1279615217;Pasta AZ;;;;;CAIXA;3,0000;267,4719;802,4157;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;47;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;98776839;Pasta em , de prolipropileno, tamanho A4 cor Cristal;;;;;UNIDADE;100,0000;0,5854;58,5410;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;48;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;913809403;Pasta suspensa em fibra marmorizada e plástificada.;;;;;UNIDADE;100,0000;1,7562;175,6230;0,0000;01/01/2025
PREFEITURA MUNICIPAL DE BARREIRAS;000000002;49;Material;1-2025;Aquisição de materiais de expediente.;Outros;Material;322739084;Pendrive 64 GB-USB 3.0;;;;;UNIDADE;20,0000;45,3894;907,7896;0,0000;01/01/2025
