# CAMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES | RUA OCTOGONAL, 384 JARDIM IMPERIAL | LUIS EDUARDO MAGALHÃES | EXTRATO DE CONTRATO | CONTRATO 25/2025 Licitação : 059/2025 Fornecedor :KAZULI COMERCIO E SERVICOS GRAFICOS LTDA Vencimento: 15/08/2026 | Lote : null Secretaria Principal: CAMARA DE VEREADORES DE LEM
item;descricao_marca_unidade;preco_rs;qtdade;valor_inicial_rs;saida;saida_rs;qtdade_atual;valor_rs
1;"ALFINETE MAPA, MATERIAL AQD, CABEC;A JOCAR CAIXA PLASTICO, FORMATO CABEÇA REDONDA, CORES COM 50 VARIADAS, CAIXA COM 50 UNIDADES. UNID APLICADOR TIPO PISTOLA PARA COLA QUENTE, UNIDA";4,90;5,00;24,50;5,00;24,50;0,00;0,00
2;GATTE;14,20;6,00;85,20;0,00;0,00;6,00;85,20
3;APONTADOR LAPIS, MATERIAL PLAS TICO, TIPO LEONORA UNIDA ESCOLAR, COR VARIADA, TAMANHO MEDIO, DE QUANT1DADE EU ROS 1, CARACTERISTICAS ADICIO- NAIS COM DEPOSITO. BALOES (BEXIGA) EM LATEX, TAMA- NHO N° 7, PACOT;1,06;40,00;42,40;40,00;42,40;0,00;0,00
4;FESTBALL CORES DIVERSAS, PACO TES COM 50 UNIDADES. ECOM AS CORES DE- VERAO SER ENVI ADAS DE 50 ACORDO COM O PEDIDO DO ALMOXAR1FADO, UNIDA MEDIANTE AUTORIZAQAO DE FOR- NECIMENTO. DE;7,45;100,00;745,00;50,00;372,50;50,00;372,50
5;BANDEJA DOCUMENTOS, MATERIAL ACRILICA, WALEU UNIDA TIPO TRIPLA, MEDIDAS APROXIMADAS: DE COMPRIMENTO 350 MM, LARGURA 250 MM, ALTURA 60 MM BARBANTE DE ALGODAO, N°8, COR CRU, ROLO UNIDA;44,90;13,00;583,70;0,00;0,00;13,00;583,70
6;IMPERADOR COM 1KG. DE BARBANTE DE SISAL, COR NATURAL, ROLO COM UNIDA;24,20;100,00;2.420,00;50,00;1.210,00;50,00;1.210,00
7;EUROROMA 1KG. DE;22,40;50,00;1.120,00;0,00;0,00;50,00;1.120,00
8;BASTAO DE SILICONE PARA COLA QUENTE,COR RENDICOLA UNIDA INCOLOR, APLICA^AO PISTOLA QUENTE, DE CARACTERISTICAS ADICIONAIS COM 7 MM DE DLAME- TRO, EMBALAGEM COM 1KG.;45,40;10,00;454,00;3,00;136,20;7,00;317,80
9;BINDER CLIPS DE METAL (PRENDE- DOR DE BAZZE CAIXA PAPEL), 15MM, CAIXA COM 12 UNIDADES, COR COM12 PRETO. UNIDA;2,70;50,00;135,00;30,00;81,00;20,00;54,00
10;BINDER CLIPS DE METAL (PRENDE- DOR DE BAZZE CAIXA PAPEL), 25MM, CAIXA COM 12 UNIDADES, COR COM12 PRETO. UNIDA;9,70;65,00;630,50;30,00;291,00;35,00;339,50
11;BINDER CLIPS DE METAL (PRENDE- DOR DE BAZZE CAIXA PAPEL), 41 MM, CAIXA COM 12 UNIDADES, COR COM12 PRETO. UNIDA;14,40;50,00;720,00;30,00;432,00;20,00;288,00
12;BINDER CLIPS DE METAL (PRENDE- DOR DE BAZZE CAIXA PAPEL), SIMM, CAIXA COM 12 UNIDADES, COR COM12 PRETO. UNIDA;19,70;50,00;985,00;25,00;492,50;25,00;492,50
13;BLOCO ADESIVO, 38MMX50MM, PA COTE COM 4 JOCAR PACOT UNIDADES DE 100 FO- LHAS CADA (TOTAL 400 E COM FOLHAS) CO RES DIVERSAS. (POST-IT PEQUENO). 4 UNIDA BLOCO ADESIVO, 76MMX76MM COM 100 FOLHAS UNIDA;4,50;200,00;900,00;0,00;0,00;200,00;900,00
14;JOCAR CORES DIVERSAS. (POST- IT GRANDE). DE;3,65;250,00;912,50;0,00;0,00;250,00;912,50
15;BORRACHAS DE APAGAR BRANCA COM CAPA LEONORA UNIDA PROTETORA ERGONO- MICA PARA MAJOR DE CONFORTO AO USAR E PARA PROTEGER CONTRA SUJEIRA. CADERNO GRANDE CAPA DURA, COM ESPIRAL, 15 UNIDA;1,20;60,00;72,00;60,00;72,00;0,00;0,00
16;ASTRAL MATER1AS, 240 FOLHAS. DE CADERNO GRANDE CAPA DURA, COM ESPIRAL, UNIDA;19,70;20,00;394,00;0,00;0,00;20,00;394,00
17;ASTRAL;9,55;65,00;620,75;40,00;382,00;25,00;238,75
18;ASTRAL;5,30;65,00;344,50;40,00;212,00;25,00;132,50
19;POLIBRAS DESMONTAVEL, MATERIAL PLAS- TICO, COR DE PREFERENCIAL AZUL, BRANCA OU PRETA, MEDINDO APRO- XIMADAMENTE: 350X250X130MM (CXAXP).;4,70;50,00;235,00;0,00;0,00;50,00;235,00
20;CAIXA CORRESPONDENCIA, MATE RIAL ACRILICO, WALEU UNIDA COR INCOLOR, TIPO TRIPLA, COMPRIMENTO 370 DE MM, LAR- GURA 255 MM, ALTURA 180 MM.;38,00;25,00;950,00;0,00;0,00;25,00;950,00
21;CAIXA ORGANIZADORA DESMONTA- VEL, COM POLIBRAS UNIDA TAMPA, MATERIAL PLASTICO, TAMANHO GRANDE, DE CAPACI- DADE MAXIMA 30 LITROS, COR BRANCA OU PRETA.;31,20;40,00;1.248,00;0,00;0,00;40,00;1.248,00
22;CAIXA ORGANIZADORA DESMONTA- VEL, COM POLIBRAS UNIDA TAMPA, MATERIAL PLAS- TICO, TAMANHO MEDIA, DE CAPACI- DADE MINIMA 16,5 LITROS, COR BRANCA OU PRETA. CALCULADORA ELETRONICA, 12 DI- G1TOS, TIPO UNIDA;27,60;40,00;1.104,00;0,00;0,00;40,00;1.104,00
23;HM MESA (4 OPERA^OES BA- SICAS),FONTE DE ALIMENTA^AO SO LAR/BATERI A, CARACTERISTICAS ADICIONAIS VISOR DE CRISTAL LL QUIDO, S1STEMA CALCULO BINARIO;18,00;20,00;360,00;0,00;0,00;20,00;360,00
24;CANETA ESFEROGRAFICA, MATE- RIAL BIC CAIXA PLASTICO, TIPO ESCRITA MEDIA, COR TINTA COM 50 AZUL, CARACTERISTICAS ADICIONAIS CORPO UNIDA SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATE RIAL PONTA AQO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;39,00;60,00;2.340,00;30,00;1.170,00;30,00;1.170,00
