Item;Descricao;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
1;ADOCANTE DIETETICO EM PO FINO BRANCO, CAIXA PEQUENA COM 50 SACHES DE NO MINIMO 0,5G (DEVEM SER A BASE DE STEVIA OU SUCRALOSE E ISENTO DE ASPARTAME).;;CAIXA COM 50 SACHES;12,50;35;35;0,00;0
2;AGUA MINERAL NATURAL, TIPO COM GAS, 500ML, MATERIAL EMBALAGEM PLASTICO, TIPO EMBALAGEM DESCARTAVEL, PH MINIMO 7,00. FARDO COM 12 UNIDADES DE 500 ML.;;FARDO COM 12 UNIDADES;28,95;900;900;0,00;0
3;AGUA MINERAL NATURAL, TIPO SEM GAS, 500ML, MATERIAL EMBALAGEM PLASTICO, TIPO EMBALAGEM DESCARTAVEL, PH MINIMO 7,00. FARDO COM 12 UNIDADES DE 500 ML.;;FARDO COM 12 UNIDADES;25,00;7000;5350;41.250,00;1650
4;BISCOITO AGUA E SAL, SEM GORDURA TRANS, SEM RECHEIO, PACOTE COM 3 UNIDADES, TOTALIZANDO 400G POR PACOTE, VALIDADE MINIMA DE 6 MESES.;;PACOTE COM 3 UNIDADES;6,50;1200;1140;390,00;60
5;BISCOITO MAIZENA, SEM RECHEIO, PACOTE COM 3 UNIDADES, TOTALIZANDO 400G POR PACOTE, VALIDADE MINIMA DE 6 MESES.;;PACOTE COM 3 UNIDADES;8,00;2500;1740;6.080,00;760
6;BISCOITO RECHEADO PACOTE NO MINIMO 140 GRAMAS, SABORES DIVERSOS.;;UND;5,50;375;375;0,00;0
7;BISCOITO ROSQUINHA 500 GRAMAS, SABORES DIVERSOS, CARACTERISTICAS ADICIONAIS SEM RECHEIO.;;UND;9,50;1000;900;950,00;100
8;CAFE MOIDO EMPACOTADO A VACUO DE 250G.;;UND;20,49;2000;1310;14.138,10;690
9;CHA DE FRUTAS, ERVAS E/OU FLORES DESIDRATADOS, USO ALIMENTICIO, ISENTO DE SUJIDADES, FRAGMENTOS E OUTROS MATERIAIS ESTRANHOS, EMBALADO EM SACHE INDIVIDUAL, EMBALADOS SECUNDARIAMENTE EM CAIXA DE PAPEL CARTAO, CAIXA DE NO MINIMO 15G COM 10 UNIDADES. DIVERSOS SABORES.;;CAIXA COM 10 SACHES;7,50;3750;2750;7.500,00;1000
10;FARINHA DE MILHO PRE-COZIDA TIPO FLOCAO, EM FLOCOS GRANDES, AMARELOS, SEM SAL, EMBALADA EM PACOTES PLASTICOS, TRANSPARENTES, LIMPOS, NAO VIOLADOS, RESISTENTES. A EMBALAGEM DEVERA CONTER EXTERNAMENTE OS DADOS DE IDENTIFICACAO, PROCEDENCIA, INFORMACOES NUTRICIONAIS, NUMERO DE LOTE, QUANTIDADE DO PRODUTO, DATA DE FABRICACAO E PRAZO DE VALIDADE. VALIDADE MINIMA DE 6 (SEIS) MESES A PARTIR DA DATA DE ENTREGA. EMBALAGEM COM 500G.;;UND;3,00;2000;1430;1.710,00;570
11;LEITE UHT INTEGRAL 1 LITRO.;;UND;6,50;1200;700;3.250,00;500
12;MARGARINA CREMOSA COM SAL, 80% DE GORDURA TOTAL, IGUAL OU SUPERIOR A QUALY, POTE DE 500G HERMETICAMENTE FECHADOS, RESFRIADO ATE 16C.;;UND;9,50;500;500;0,00;0
13;POLVILHO DOCE DE MANDIOCA 1 KG.;;UND;12,50;380;350;375,00;30
14;SUCO DE FRUTAS (SABORES DIFERENCIADOS), EMBALAGEM MINIMA DE 1 LITRO.;;UND;9,30;400;400;0,00;0
15;SAL 1KG, REFINADO, IODADO, COMPOSTO DE CLORETO DE SODIO E SAIS DE IODO, EMBALAGEM PRIMARIA HERMETICAMENTE FECHADA E ATOXICA, APLICACAO ALIMENTICIA, VALIDADE MINIMA DE 1 ANO.;;UND;4,20;130;45;357,00;85
16;ACUCAR CRISTAL DE 1KG, COMPOSICAO: CRISTAIS, DE COR BRANCA, SEM REFINO, DE ORIGEM VEGETAL, CONTENDO SACAROSE DE CANA-DE-ACUCAR. FORMA DE FORNECIMENTO: SACO PLASTICO DE POLIETILENO, ATOXICO, TRANSPARENTE, CONTENDO 1KG DO PRODUTO. FARDO COM 30 KGS. O PRODUTO E A EMBALAGEM DEVEM OBEDECER A LEGISLACAO VIGENTE. VALIDADE MINIMA DE 06 (SEIS) MESES.;;UND;4,39;2600;2230;1.624,30;370
17;Camiseta branca;Marca A;UND;25,00;50;50;0,00;0
18;Calca jeans;Marca B;UND;50,00;30;30;0,00;0
19;Tenis preto;Marca C;UND;80,00;20;20;0,00;0
