Descrição do Item,Unidade de Fornecimento,Quantidade Estimada*,Valor Unitário Estimado (R$)*,Valor Total Estimado (R$)*,Valor orçamentário estimado para o exercício (R$)*,Renovação Contrato*,Data Desejada*
Serviço de Abastecimento de água tratada e coleta de esgoto.,MES,12,"333,33",4000,4000,1-Sim,1/1/2026
Serviço de fornecimento de energia elétrica.,MES,12,23400,280800,280800,1-Sim,1/1/2026
Serviço de fornecimento de internet através de link de dados com IP dedicado com velocidade de Internet 375 (trezentose setenta e cinco) Mbps (megabits por segundo) fornecida via fibra óptica FIM a FIM,MES,12,"3241,67",38900,38900,1-Sim,8/1/2026
Serviço de fornecimento de telefonia fixa SIP - Plano de minutos e assinatura mensal das linhas.,MES,12,1560,18720,18720,1-Sim,1/1/2026
Serviço de fornecimento de ferramenta de pesquisa e comparação de preços praticados pela administração pública por meio de sistema de busca baseado em resultados de licitações homologadas.,MES,12,750,9000,9000,1-Sim,1/3/2026
Serviço de fornecimento de licenciamento de uso e Locação de softwares de Gestão de Processo Legislativo e Legislação.,MES,12,24115,289380,289380,1-Sim,3/1/2026
"Serviço de fornecimento de software para atender a Lei de acesso à informação (Lei n°. 12.527/2011), incluindo o SIC (Sistema de Informação ao Cidadão), Transparência Pública em tempo real atendendo a (Lei Complementar n. 131/2009) e ouvidoria.",MES,12,5902,70824,70824,1-Sim,3/1/2026
"Sistema de Controle e Gerenciamento de Requisições e Compras, com importação dos contratos e de itens licitados.",MES,12,5460,65520,65520,1-Sim,3/1/2026
"Sistema Web de controle de processos, licitações e contratos.",MES,12,5460,65520,65520,1-Sim,3/1/2026
Sistema Web de Gestão Documental.,MES,12,7800,93600,93600,1-Sim,3/1/2026
"Serviços de locação, manutenção preventiva e corretiva, parametrização de software e treinamento de pessoal do sistema web de recursos humanos, folha de pagamento e módulo E-Social.",MES,12,9100,109200,109200,1-Sim,3/1/2026
Sistema Portal do Servidor (contracheque on-line) com aplicativo Móbile.,MES,12,2600,31200,31200,1-Sim,3/1/2026
Sistema Web de Patrimônio Público.,MES,12,3900,46800,46800,1-Sim,3/1/2026
Sistema Web de Frota.,MES,12,2600,31200,31200,1-Sim,3/1/2026
Sistema Web de Procuradoria Jurídica.,MES,12,2600,31200,31200,1-Sim,3/1/2026
