Numero Item*;Categoria do Item*;Catálogo Utilizado*;Classificação do Catálogo*;Código da Classificação Superior (Classe/Grupo)*;Classificacao Superior Nome*;Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada*;Valor Unitário Estimado (R$)*;Valor Total Estimado (R$)*;Valor orçamentário estimado para o exercício (R$)*;Renovação Contrato*;Data Desejada*;Unidade Requisitante;Grupo Contratação Codigo;Grupo Contratação Nome
1;2-Serviço;2-Outros;2-Serviço;100;SERVIÇOS DE UTILIDADE PÚBLICA;;;S1000001;Serviço de Abastecimento de água tratada e coleta de esgoto.;MES;12.0;R$ 333,33;R$ 4.000,00;R$ 4.000,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
2;2-Serviço;2-Outros;2-Serviço;100;SERVIÇOS DE UTILIDADE PÚBLICA;;;S1000002;Serviço de fornecimento de energia elétrica.;MES;12.0;R$ 23.400,00;R$ 280.800,00;R$ 280.800,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
3;2-Serviço;2-Outros;2-Serviço;100;SERVIÇOS DE UTILIDADE PÚBLICA;;;S1000003;Serviço de fornecimento de internet através de link de dados com IP dedicado com velocidade de Internet 375 (trezentose setenta e cinco) Mbps (megabits por segundo) fornecida via fibra óptica FIM a FIM;MES;12.0;R$ 3.241,67;R$ 38.900,00;R$ 38.900,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
4;2-Serviço;2-Outros;2-Serviço;100;SERVIÇOS DE UTILIDADE PÚBLICA;;;S1000004;Serviço de fornecimento de telefonia fixa SIP - Plano de minutos e assinatura mensal das linhas.;MES;12.0;R$ 1.560,00;R$ 18.720,00;R$ 18.720,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
5;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000001;Serviço de fornecimento de ferramenta de pesquisa e comparação de preços praticados pela administração pública por meio de sistema de busca baseado em resultados de licitações homologadas.;MES;12.0;R$ 750,00;R$ 9.000,00;R$ 9.000,00;1-Sim;01/01/2025;Setor de Compras;;
6;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000002;Serviço de fornecimento de licenciamento de uso e Locação de softwares de Gestão de Processo Legislativo e Legislação.;MES;12.0;R$ 24.115,00;R$ 289.380,00;R$ 289.380,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
7;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000003;Serviço de fornecimento de software para atender a Lei de acesso à informação (Lei n°. 12.527/2011), incluindo o SIC (Sistema de Informação ao Cidadão), Transparência Pública em tempo real atendendo a (Lei Complementar n. 131/2009) e ouvidoria.;MES;12.0;R$ 5.902,00;R$ 70.824,00;R$ 70.824,00;1-Sim;01/01/2025;Diretoria Administrativa e Financeira;;
8;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000004;Serviços de locação, manutenção preventiva e corretiva, parametrização de software e treinamento de pessoal do sistema web de recursos humanos, folha de pagamento e módulo  E-Social.;MES;12.0;R$ 9.100,00;R$ 109.200,00;R$ 109.200,00;1-Sim;01/01/2025;Recursos Humanos;;
9;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000005;Sistema Portal do Servidor (contracheque on-line) com aplicativo Móbile.;MES;12.0;R$ 2.600,00;R$ 31.200,00;R$ 31.200,00;1-Sim;01/01/2025;Recursos Humanos;;
10;2-Serviço;2-Outros;2-Serviço;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;;;S2000006;Sistema Web de Patrimônio Público.;MES;12.0;R$ 3.900,00;R$ 46.800,00;R$ 46.800,00;1-Sim;01/01/2025;Patrimônio;;
