numero_item;categoria;catalogo_utilizado;codigo_classe;nome_classe;codigo_item_catalogo;descricao_objeto;unidade_medida;quantidade_estimada;valor_unitario_estimado;valor_estimado;trimestre_previsto;renovacao_contrato;unidade_requisitante;justificativa;prioridade
1;SERVICO;OUTROS;100;SERVIÇOS DE UTILIDADE PÚBLICA;S1000001;Serviço de Abastecimento de água tratada e coleta de esgoto.;MES;12.0;333.33;4000.0;1;SIM;Diretoria Administrativa e Financeira;Serviço essencial: o Legislativo de Luís Eduardo Magalhães - Ba é atendido pelo serviço de abastecimento de água e coleta de esgoto pela empresa Empresa Baiana de Águas e Saneamento S/A - EMBASA, cuja empresa goza do direito de exploração dos serviços de distribuição de água e coleta de esgoto do município de Luís Eduardo Magalhães - Ba , portanto, não existe outra empresa autorizada a fornecer o referido serviço ao município de Luís Eduardo Magalhães - Ba.;3
2;SERVICO;OUTROS;100;SERVIÇOS DE UTILIDADE PÚBLICA;S1000002;Serviço de fornecimento de energia elétrica.;MES;12.0;23400.0;280800.0;1;SIM;Diretoria Administrativa e Financeira;Serviço essencial: o Legislativo de Luís Eduardo Magalhães - Ba é atendido pelo serviço de energia através da empresa Neoenergia COELBA, cuja empresa goza do direito de exploração dos serviços energéticos em mais de 415 municípios do Estado da Bahia, portanto, Luís Eduardo Magalhães é um dos Municípios atendidos pela empresa e não existindo outra empresa autorizada a fornecer energia elétrica ao Município de Luís Eduardo Magalhães, detendo está o total direito de exploração dos serviços.;3
3;SERVICO;OUTROS;100;SERVIÇOS DE UTILIDADE PÚBLICA;S1000003;Serviço de fornecimento de internet através de link de dados com IP dedicado com velocidade de Internet 375 (trezentose setenta e cinco) Mbps (megabits por segundo) fornecida via fibra óptica FIM a FIM;MES;12.0;3241.67;38900.0;1;SIM;Diretoria Administrativa e Financeira;Serviço essencial: Fornecimento de acesso a rede mundial de computadores mediante provedor com internet através de link de dados com IP dedicado com velocidade de Internet 375 (trezentose setenta e cinco) Mbps (megabits por segundo) fornecida via fibra óptica FIM a FIM, com redundância, na infraestrutura (com dois caminhos distintos entre provedor e o local de instalação) incorporando a rede da Câmara Municipal de Luís Eduardo Magalhães/BA à uma rede de dados através de links de fibra óptica até a central da empresa responsável pelo provimento da internet, além de serviço de acesso à Internet com ANTI-DDOS em banda dedicada e simétrica, roteador e gerência proativa dos circuitos.;3
4;SERVICO;OUTROS;100;SERVIÇOS DE UTILIDADE PÚBLICA;S1000004;Serviço de fornecimento de telefonia fixa SIP - Plano de minutos e assinatura mensal das linhas.;MES;12.0;1560.0;18720.0;1;SIM;Diretoria Administrativa e Financeira;Serviço Essencial: Fornecimento de linhas telefônicas ativas para comunicação externa tendo como ponto de origem dos terminais do Legislativo Municipal a terceiros/fornecedores e ou de terceiros/fornecedores/contribuintes para o Legislativo.;3
5;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000001;Serviço de fornecimento de ferramenta de pesquisa e comparação de preços praticados pela administração pública por meio de sistema de busca baseado em resultados de licitações homologadas.;MES;12.0;750.0;9000.0;1;SIM;Setor de Compras;Fornecimento de ferramenta de pesquisa e comparação de preços praticados pela administração pública, por meio de sistema de busca baseado em resultados de licitações homologadas, que calcula preços de referência para aquisição de bens, contratação de serviços, obras e serviços de engenharia no âmbito da administração pública, para auxiliar o setor de compras no processo de cotação. Auxiliar a diretoria administrativa na elaboração dos termos de referência de acordo com os critérios e exigências estabelecidas em lei. Auxiliar o setor de licitação quando pertinente a pesquisas de editais e pregões que já aconteceram em outros órgãos, facilitando a elaboração de editais condizentes a nossa realidade. A prestação de serviço será realizada com a liberação de 03 acessos simultâneos (setor de compras, diretoria administrativa e licitação).;3
6;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000002;Serviço de fornecimento de licenciamento de uso e Locação de softwares de Gestão de Processo Legislativo e Legislação.;MES;12.0;24115.0;289380.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento de licenciamento de uso e Locação de softwares de Gestão de Processo Legislativo e Legislação, a ser utilizado pelos Vereadores, Jurídico, Procuradoria e demais partes envolvidas no Processo Legislativo desta Casa de Leis, tornando assim o processo mais eficiente e ágil.;3
7;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000003;Serviço de fornecimento de software para atender a Lei de acesso à informação (Lei n°. 12.527/2011), incluindo o SIC (Sistema de Informação ao Cidadão), Transparência Pública em tempo real atendendo a (Lei Complementar n. 131/2009) e ouvidoria.;MES;12.0;5902.0;70824.0;1;SIM;Diretoria Administrativa e Financeira;Fornecimento de software para atender a Lei de acesso à informação (Lei n°. 12.527/2011), incluindo o SIC (Sistema de Informação ao Cidadão), Transparência Pública em tempo real atendendo a (Lei Complementar n. 131/2009) e ouvidoria para a Câmara Municipal de Luís Eduardo Magalhães/BA, com treinamento, capacitação e apoio técnico. A Lei de Acesso à Informação no 12.527/2011 regulamenta o direito constitucional de acesso às informações públicas. Essa norma entrou em vigor em 16 de maio de 2012 e criou mecanismos que possibilitam, a qualquer pessoa, física ou jurídica, sem necessidade de apresentar motivo, o recebimento de informações públicas dos órgãos e entidades. O Sistema Eletrônico do Serviço de Informações ao Cidadão (e-SIC) permite que qualquer pessoa, física ou jurídica, encaminhe pedidos de acesso à informação, acompanhe o prazo e receba a resposta da solicitação realizada para órgãos e entidades do Governo Municipal. O cidadão ainda pode entrar com recursos às respostas aos pe;3
8;MATERIAL;OUTROS;1400;MATERIAIS DE ESCRITÓRIO;M14000001;Sistema de Controle e Gerenciamento de Requisições e Compras, com importação dos contratos e de itens licitados.;MES;12.0;5460.0;65520.0;1;SIM;Licitações e Contratos- Agente de Contratação: Lorena Fagundes Brogliatto;Sistema de Controle e Gerenciamento de Requisições e Compras, com importação dos contratos e de itens licitados, permite o acompanhamento dos contratos com seus devidos itens inseridos e anexados ao contrato, já com a quantidade e preço licitado, permite montar os itens do contrato por lotes, cadastrar fornecedores, controlar as solicitações de compras, controlar os gastos por unidade orçamentária dentre outras funcionalidades que torna o gerenciamento mais ágil e eficaz.;3
9;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000004;Sistema Web de controle de processos, licitações e contratos.;MES;12.0;5460.0;65520.0;1;SIM;Licitações e Contratos- Agente de Contratação: Lorena Fagundes Brogliatto;Sistema Web de controle de processos, licitações e contratos, ferramenta que irá contribuir na gestão de todas as etapas do processo licitatório, desde a geração do edital ao controle de aditivos para não perder os prazos estabelecidos em cada contrato firmado com a Câmara.;3
10;SERVICO;OUTROS;200;SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;S2000005;Sistema Web de Gestão Documental.;MES;12.0;7800.0;93600.0;1;SIM;Contabilidade;"Sistema Web de Gestão Documental permite completo controle e gestão dos documentos que serão digitalizados e armazenados de forma digital, eliminando a utilização do ""arquivo morto"" e também o volume de papeís que circulam no órgão.";3
