Ítem,Descrição,Marca,Und,Preço R$,Qtdade,Valor Inicial R$,Saída,Saída R$,Qtdade Atual,Valor R$
,PENDRIVE 32 GB (USB 3.2 GEN 1) NOVO DE PRIMEIRO USO CONFORME REQUISITOS MÍNIMOS,SANDISK,,25.00,40.00,1000.00,40.00,1000.00,0.00,0.00
,KIT COM 04 UNIDADES DE TONER - MONOCROMÁTICO E COLORIDO (CIANO MAGENTA AMARELO PRETO),HP,UNIDADE,250.00,5.00,1250.00,5.00,1250.00,0.00,0.00
,UNIDADE DE IMAGEM (CILINDRO FOTOCONDUTOR) RENDIMENTO APROXIMADO DE 60.000 PÁGINAS,LEXMARK,UNIDADE,320.00,6.00,1920.00,6.00,1920.00,0.00,0.00
,CARTUCHO DE TONER DE ALTO RENDIMENTO - MONOCROMÁTICO RENDIMENTO APROXIMADO DE 60.000 PÁGINAS,LEXMARK,UNIDADE,250.00,6.00,1500.00,6.00,1500.00,0.00,0.00
,SWITCH ETHERNET GIGABIT DE MESA - 8 PORTAS,TPLINK,UNIDADE,150.00,6.00,900.00,6.00,900.00,0.00,0.00
,IMPRESSORA MULTIFUNCIONAL COLORIDA - SISTEMA DE TINTA CONTÍNUO WI-FI ETHERNET E FAX,EPSON,UNIDADE,1840.00,4.00,7360.00,4.00,7360.00,0.00,0.00
,MOUSE ÓPTICO USB COM FIO,LOGITECH,UNIDADE,60.00,15.00,900.00,15.00,900.00,0.00,0.00
,TECLADO USB COM FIO,LOGITECH,UNIDADE,80.00,15.00,1200.00,15.00,1200.00,0.00,0.00
,UNIDADE DE ESTADO SÓLIDO (SSD) - FORMATO M.2 INTERFACE NVME PCIE CAPACIDADE DE 500 GB,PATRIOT,UNIDADE,390.00,20.00,7800.00,20.00,7800.00,0.00,0.00
,UNIDADE DE ESTADO SÓLIDO (SSD) - INTERFACE SATA III CAPACIDADE DE 480 GB,KINGSTON,UNIDADE,250.00,30.00,7500.00,30.00,7500.00,0.00,0.00
,BATERIA SELADA CHUMBO-ÁCIDO - 12 V 7 AH,MOURA,UNIDADE,180.00,100.00,18000.00,100.00,18000.00,0.00,0.00
,MÓDULO DE MEMÓRIA RAM DDR4 PARA NOTEBOOK - 3.666 MHZ,CRUCIAL,UNIDADE,200.00,10.00,2000.00,10.00,2000.00,0.00,0.00
,CARREGADOR (FONTE EXTERNA) PARA NOTEBOOK - 65 W 19.5 V,DELL,UNIDADE,150.00,10.00,1500.00,10.00,1500.00,0.00,0.00
,FRAGMENTADORA AUTOMÁTICA DE PAPEL - CAPACIDADE DE 150 FOLHAS TENSÃO 220 V,TILIBRA,UNIDADE,1177.50,2.00,2355.00,2.00,2355.00,0.00,0.00
