Item_Lote;PU_pedido;Qtd_pedido;Valor_linha_pedido;PU_contrato;Qtd_contratada;Saida;Estoque_Atual_migracao;Qtd_excedente_saldo;Valor_excedente;Pedido_sem_saldo_estoque_zero;Descricao_migracao
2;14.2;2.0;28.4;14.2;6.0;0.0;6.0;0.0;0.0;NAO;APLICADOR TIPO PISTOLA PARA COLA QUENTE, 220 V, BASTAO DE SILICONE FINO, MEDIDAS APROXIMADAS: 7MMX300MM.
4;7.45;100.0;745.0;7.45;100.0;50.0;50.0;50.0;372.5;NAO;BALOES (BEXIGA) EM LATEX, TAMANHO N 7, CORES DIVERSAS, PACOTES COM 50 UNIDADES. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO.
16;19.7;20.0;394.0;19.7;20.0;0.0;20.0;0.0;0.0;NAO;CADERNO GRANDE CAPA DURA, COM ESPIRAL, 15 MATERIAS, 240 FOLHAS.
21;31.2;15.0;468.0;31.2;40.0;0.0;40.0;0.0;0.0;NAO;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO GRANDE, CAPACIDADE MAXIMA 30 LITROS, COR BRANCA OU PRETA.
22;27.6;15.0;414.0;27.6;40.0;0.0;40.0;0.0;0.0;NAO;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO MEDIA, CAPACIDADE MINIMA 16,5 LITROS, COR BRANCA OU PRETA.
27;7.4;10.0;74.0;7.4;26.0;26.0;0.0;10.0;74.0;SIM;CANETA MARCADORA PARA CD/DVD 1.0 MM COR PRETA SECAGEM RAPIDA RESISTENTE A AGUA E UMIDADE
28;1.7;60.0;102.0;1.7;200.0;100.0;100.0;0.0;0.0;NAO;CANETA MARCA-TEXTO, MATERIAL PLASTICO, TIPO PONTA CHANFRADA, COR FLUORESCENTE DIVERSAS, TINTA SUPERFLUORESCENTE E COR VIVA PARA SUBLINHAR E DESTACAR, ESPESSURA DOS TRACOS 1MM PARA SUBLINHAR 4 MM PARA …
29;2.5;50.0;125.0;2.5;200.0;0.0;200.0;0.0;0.0;NAO;CLIPS PARA PAPEIS - TAMANHO: 2/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.
30;2.2;50.0;110.0;2.2;200.0;0.0;200.0;0.0;0.0;NAO;CLIPS PARA PAPEIS - TAMANHO: 3/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.
31;2.8;30.0;84.0;2.8;200.0;0.0;200.0;0.0;0.0;NAO;CLIPS PARA PAPEIS - TAMANHO: 6/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 50 UNIDADES.
32;2.8;30.0;84.0;2.8;200.0;0.0;200.0;0.0;0.0;NAO;CLIPS PARA PAPEIS - TAMANHO: 8/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 25 UNIDADES.
34;15.0;10.0;150.0;15.0;26.0;26.0;0.0;10.0;150.0;SIM;COLA ADESIVA INSTANTANEA LIQUIDA 50G
36;9.9;10.0;99.0;9.9;10.0;10.0;0.0;10.0;99.0;SIM;COLA BRANCA PVA, PARA MADEIRA DE 1KG, CASCOLA CASCOREZ EXTRA, SIMILAR, EQUIVALENTE OU DE MELHOR QUALIDADE.
39;0.07;50.0;3.5;0.07;130.0;50.0;80.0;0.0;0.0;NAO;ENVELOPE BRANCO 114MM X 229MM.
40;0.28;50.0;14.0;0.28;65.0;65.0;0.0;50.0;14.0;SIM;ENVELOPE PARDO 240 MM X 340 MM.
41;2.4;15.0;36.0;2.4;26.0;26.0;0.0;15.0;36.0;SIM;ESTILETE RETRATIL, ESPESSURA 18MM, APLICACAO ESCRITORIO.
43;3.3;30.0;99.0;3.3;100.0;100.0;0.0;30.0;99.0;SIM;FITA ADESIVA, MATERIAL POLIPROPILENO TRANSPARENTE, TIPO MONO FACE, COR INCOLOR, APLICACAO MULTIUSO, 50MMX50M.
