Item;Descrição;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
1;ALFINETE MAPA, MATERIAL AQD, CABECA PLASTICO, FORMATO CABECA REDONDA, CORES VARIADAS, CAIXA COM 50 UNIDADES.;JOCAR;CAIXA COM 50 UNID;4,90;5;5;0,00;0
2;APLICADOR TIPO PISTOLA PARA COLA QUENTE, 220 V, BASTAO DE SILICONE FINO, MEDIDAS APROXIMADAS: 7MMX300MM.;GATTE;UNIDADE;14,20;6;2;56,80;4
3;APONTADOR LAPIS, MATERIAL PLASTICO, TIPO ESCOLAR, COR VARIADA, TAMANHO MEDIO, QUANTIDADE EUROS 1, CARACTERISTICAS ADICIONAIS COM DEPOSITO.;LEONORA;UNIDADE;1,06;40;40;0,00;0
4;BALOES (BEXIGA) EM LATEX, TAMANHO N 7, CORES DIVERSAS, PACOTES COM 50 UNIDADES. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO.;FESTBALL;PACOTE COM 50 UNID;7,45;100;100;0,00;0
5;BANDEJA DOCUMENTOS, MATERIAL ACRILICA, TIPO TRIPLA, MEDIDAS APROXIMADAS: COMPRIMENTO 350 MM, LARGURA 250 MM, ALTURA 60 MM;WALEU;UNIDADE;44,90;13;0;583,70;13
6;BARBANTE DE ALGODAO, N8, COR CRU, ROLO COM 1KG.;IMPERADOR;UNIDADE;24,20;100;50;1.210,00;50
7;BARBANTE DE SISAL, COR NATURAL, ROLO COM 1KG.;EUROROMA;UNIDADE;22,40;50;0;1.120,00;50
8;BASTAO DE SILICONE PARA COLA QUENTE, COR INCOLOR, APLICACAO PISTOLA QUENTE, CARACTERISTICAS ADICIONAIS COM 7 MM DE DIAMETRO, EMBALAGEM COM 1KG.;RENDICOLA;UNIDADE;45,40;10;3;317,80;7
9;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 15MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;2,70;50;31;51,30;19
10;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 25MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;9,70;65;30;339,50;35
11;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 41 MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;14,40;50;30;288,00;20
12;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 51MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;19,70;50;25;492,50;25
13;BLOCO ADESIVO, 38MMX50MM, PACOTE COM 4 UNIDADES DE 100 FOLHAS CADA (TOTAL 400 FOLHAS) CORES DIVERSAS. (POST-IT PEQUENO).;JOCAR;PACOTE COM 4 UNID;4,50;200;2;891,00;198
14;BLOCO ADESIVO, 76MMX76MM COM 100 FOLHAS CORES DIVERSAS. (POST-IT GRANDE).;JOCAR;UNIDADE;3,65;250;223;98,55;27
15;BORRACHAS DE APAGAR BRANCA COM CAPA PROTETORA ERGONOMICA PARA MAIOR CONFORTO AO USAR E PARA PROTEGER CONTRA SUJEIRA.;LEONORA;UNIDADE;1,20;60;60;0,00;0
16;CADERNO GRANDE CAPA DURA, COM ESPIRAL, 15 MATERIAS, 240 FOLHAS.;ASTRAL;UNIDADE;19,70;20;20;0,00;0
17;CADERNO GRANDE CAPA DURA, COM ESPIRAL, 96 FOLHAS.;ASTRAL;UNIDADE;9,55;65;40;238,75;25
18;CADERNO PEQUENO CAPA DURA, COM ESPIRAL, 96 FOLHAS.;ASTRAL;UNIDADE;5,30;65;40;132,50;25
19;CAIXA ARQUIVO (ARQUIVO MORTO), DESMONTAVEL, MATERIAL PLASTICO, COR PREFERENCIAL AZUL, BRANCA OU PRETA, MEDINDO APROXIMADAMENTE: 350X250X130MM (CXAXP).;POLIBRAS;UNIDADE;4,70;50;0;235,00;50
20;CAIXA CORRESPONDENCIA, MATERIAL ACRILICO, COR INCOLOR, TIPO TRIPLA, COMPRIMENTO 370MM, LARGURA 255 MM, ALTURA 180 MM.;WALEU;UNIDADE;38,00;25;0;950,00;25
21;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO GRANDE, CAPACIDADE MAXIMA 30 LITROS, COR BRANCA OU PRETA.;POLIBRAS;UNIDADE;31,20;40;15;780,00;25
22;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO MEDIA, CAPACIDADE MINIMA 16,5 LITROS, COR BRANCA OU PRETA.;POLIBRAS;UNIDADE;27,60;40;15;690,00;25
23;CALCULADORA ELETRONICA, 12 DIGITOS, TIPO MESA (4 OPERACOES BASICAS), FONTE ALIMENTACAO SOLAR/BATERIA, CARACTERISTICAS ADICIONAIS VISOR DE CRISTAL LIQUIDO, SISTEMA CALCULO BINARIO;HM;UNIDADE;18,00;20;0;360,00;20
24;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA AZUL, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;39,00;60;30;1.170,00;30
25;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA PRETA, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;39,00;10;0;390,00;10
26;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA VERMELHA, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;39,00;10;0;390,00;10
27;CANETA MARCADORA PARA CD/DVD 1.0 MM COR PRETA SECAGEM RAPIDA RESISTENTE A AGUA E UMIDADE;BRW;UNIDADE;7,40;26;26;0,00;0
28;CANETA MARCA-TEXTO, MATERIAL PLASTICO, TIPO PONTA CHANFRADA, COR FLUORESCENTE DIVERSAS, TINTA SUPERFLUORESCENTE E COR VIVA PARA SUBLINHAR E DESTACAR, ESPESSURA DOS TRACOS 1MM PARA SUBLINHAR 4 MM PARA DESTACAR DE QUALIDADE IGUAL OU SUPERIOR A MARCA PILOTO.;MASTERPRINT;UNIDADE;1,70;200;160;68,00;40
29;CLIPS PARA PAPEIS - TAMANHO: 2/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.;CHAPARRAU;CAIXA COM 100 UNID;2,50;200;50;375,00;150
30;CLIPS PARA PAPEIS - TAMANHO: 3/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.;CHAPARRAU;CAIXA COM 100 UNID;2,20;200;50;330,00;150
31;CLIPS PARA PAPEIS - TAMANHO: 6/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 50 UNIDADES.;CHAPARRAU;CAIXA COM 50 UNID;2,80;200;30;476,00;170
32;CLIPS PARA PAPEIS - TAMANHO: 8/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 25 UNIDADES.;CHAPARRAU;CAIXA COM 25 UNID;2,80;200;30;476,00;170
33;COLA BASTAO - COMPOSICAO: POLIVINILPIRROLIDONA (PVP), ESTEARATO DE SODIO E GLICERINA, REQUISITO: A BASE DE AGUA, LAVAVEL E ATOXICA, EMBALAGEM: TUBO COM 40G;ACRILEX;UNIDADE;8,00;50;0;400,00;50
34;COLA ADESIVA INSTANTANEA LIQUIDA 50G;LEONORA;UNIDADE;15,00;26;26;0,00;0
35;COLA, COR INCOLOR, APLICACAO COURO, METAL, VIDRO, CORTICA PLASTICO, MADEIRA, CARACTERISTICAS ADICIONAIS INSTANTANEA, TIPO LIQUIDO, 100G.;LEONORA;UNIDADE;5,00;65;0;325,00;65
36;COLA BRANCA PVA, PARA MADEIRA DE 1KG, CASCOLA CASCOREZ EXTRA, SIMILAR, EQUIVALENTE OU DE MELHOR QUALIDADE.;IRIS;UNIDADE;9,90;10;10;0,00;0
