numero_item;descricao;marca;unidade_medida;quantidade_contratada;valor_unitario;saida;tipo_item
1;ALFINETE MAPA, MATERIAL AQD, CABECA PLASTICO, FORMATO CABECA REDONDA, CORES VARIADAS, CAIXA COM 50 UNIDADES.;JOCAR;CAIXA COM 50 UNID;5;4.90;5;CONSUMO
2;APLICADOR TIPO PISTOLA PARA COLA QUENTE, 220 V, BASTAO DE SILICONE FINO, MEDIDAS APROXIMADAS: 7MMX300MM.;GATTE;UNIDADE;6;14.20;2;CONSUMO
3;APONTADOR LAPIS, MATERIAL PLASTICO, TIPO ESCOLAR, COR VARIADA, TAMANHO MEDIO, QUANTIDADE EUROS 1, CARACTERISTICAS ADICIONAIS COM DEPOSITO.;LEONORA;UNIDADE;40;1.06;40;CONSUMO
4;BALOES (BEXIGA) EM LATEX, TAMANHO N 7, CORES DIVERSAS, PACOTES COM 50 UNIDADES. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO.;FESTBALL;PACOTE COM 50 UNID;100;7.45;100;CONSUMO
5;BANDEJA DOCUMENTOS, MATERIAL ACRILICA, TIPO TRIPLA, MEDIDAS APROXIMADAS: COMPRIMENTO 350 MM, LARGURA 250 MM, ALTURA 60 MM;WALEU;UNIDADE;13;44.90;0;CONSUMO
6;BARBANTE DE ALGODAO, N8, COR CRU, ROLO COM 1KG.;IMPERADOR;UNIDADE;100;24.20;50;CONSUMO
7;BARBANTE DE SISAL, COR NATURAL, ROLO COM 1KG.;EUROROMA;UNIDADE;50;22.40;0;CONSUMO
8;BASTAO DE SILICONE PARA COLA QUENTE, COR INCOLOR, APLICACAO PISTOLA QUENTE, CARACTERISTICAS ADICIONAIS COM 7 MM DE DIAMETRO, EMBALAGEM COM 1KG.;RENDICOLA;UNIDADE;10;45.40;3;CONSUMO
9;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 15MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;50;2.70;31;CONSUMO
10;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 25MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;65;9.70;30;CONSUMO
11;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 41 MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;50;14.40;30;CONSUMO
12;BINDER CLIPS DE METAL (PRENDEDOR DE PAPEL), 51MM, CAIXA COM 12 UNIDADES, COR PRETO.;BAZZE;CAIXA COM 12 UNID;50;19.70;25;CONSUMO
13;BLOCO ADESIVO, 38MMX50MM, PACOTE COM 4 UNIDADES DE 100 FOLHAS CADA (TOTAL 400 FOLHAS) CORES DIVERSAS. (POST-IT PEQUENO).;JOCAR;PACOTE COM 4 UNID;200;4.50;2;CONSUMO
14;BLOCO ADESIVO, 76MMX76MM COM 100 FOLHAS CORES DIVERSAS. (POST-IT GRANDE).;JOCAR;UNIDADE;250;3.65;223;CONSUMO
15;BORRACHAS DE APAGAR BRANCA COM CAPA PROTETORA ERGONOMICA PARA MAIOR CONFORTO AO USAR E PARA PROTEGER CONTRA SUJEIRA.;LEONORA;UNIDADE;60;1.20;60;CONSUMO
16;CADERNO GRANDE CAPA DURA, COM ESPIRAL, 15 MATERIAS, 240 FOLHAS.;ASTRAL;UNIDADE;20;19.70;20;CONSUMO
17;CADERNO GRANDE CAPA DURA, COM ESPIRAL, 96 FOLHAS.;ASTRAL;UNIDADE;65;9.55;40;CONSUMO
18;CADERNO PEQUENO CAPA DURA, COM ESPIRAL, 96 FOLHAS.;ASTRAL;UNIDADE;65;5.30;40;CONSUMO
19;CAIXA ARQUIVO (ARQUIVO MORTO), DESMONTAVEL, MATERIAL PLASTICO, COR PREFERENCIAL AZUL, BRANCA OU PRETA, MEDINDO APROXIMADAMENTE: 350X250X130MM (CXAXP).;POLIBRAS;UNIDADE;50;4.70;0;CONSUMO
20;CAIXA CORRESPONDENCIA, MATERIAL ACRILICO, COR INCOLOR, TIPO TRIPLA, COMPRIMENTO 370MM, LARGURA 255 MM, ALTURA 180 MM.;WALEU;UNIDADE;25;38.00;0;CONSUMO
21;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO GRANDE, CAPACIDADE MAXIMA 30 LITROS, COR BRANCA OU PRETA.;POLIBRAS;UNIDADE;40;31.20;15;CONSUMO
22;CAIXA ORGANIZADORA DESMONTAVEL, COM TAMPA, MATERIAL PLASTICO, TAMANHO MEDIA, CAPACIDADE MINIMA 16,5 LITROS, COR BRANCA OU PRETA.;POLIBRAS;UNIDADE;40;27.60;15;CONSUMO
23;CALCULADORA ELETRONICA, 12 DIGITOS, TIPO MESA (4 OPERACOES BASICAS), FONTE ALIMENTACAO SOLAR/BATERIA, CARACTERISTICAS ADICIONAIS VISOR DE CRISTAL LIQUIDO, SISTEMA CALCULO BINARIO;HM;UNIDADE;20;18.00;0;CONSUMO
24;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA AZUL, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;60;39.00;30;CONSUMO
25;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA PRETA, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;10;39.00;0;CONSUMO
26;CANETA ESFEROGRAFICA, MATERIAL PLASTICO, TIPO ESCRITA MEDIA, COR TINTA VERMELHA, CARACTERISTICAS ADICIONAIS CORPO SEXTAVADO, TRANSPARENTE E ORIFICIO LATERAL, QUANTIDADE CARGAS 1 UN, MATERIAL PONTA ACO INOXIDAVEL COM ESFERA DE TUNGSTENIO. CAIXA COM 50 UNIDADES.;BIC;CAIXA COM 50 UNID;10;39.00;0;CONSUMO
27;CANETA MARCADORA PARA CD/DVD 1.0 MM COR PRETA SECAGEM RAPIDA RESISTENTE A AGUA E UMIDADE;BRW;UNIDADE;26;7.40;26;CONSUMO
