numero_item;descricao;unidade_medida;marca;quantidade_contratada;valor_unitario;saida;tipo_item
1;ALMOFADA PARA CARIMBOS AUTOMÁTICOS, TAMANHO 3,8X1,4.;UNIDADE;;30;37,84;23;CONSUMO
2;ALMOFADA PARA CARIMBOS AUTOMÁTICOS, TAMANHO 4X6,5.;UNIDADE;;30;42,96;20;CONSUMO
3;ALMOFADA PARA CARIMBOS AUTOMÁTICOS, TAMANHO 6,4X4,0.;UNIDADE;;30;42,96;20;CONSUMO
4;ALMOFADA PARA CARIMBOS AUTOMÁTICOS, TAMANHO 7,6X3,8.;UNIDADE;;30;42,96;24;CONSUMO
5;AGENDA PERMANENTE TIMBRADA FORMATO15X21, CAPA / CONTRA CAPA, CAPA DURA, IMPRESÃO 4X0 MIOLO - 200 FOLHAS EM SULFITE 75 GRS, 1X1 ACABAMENTO COM AIRÓ COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;375;36,82;;CONSUMO
6;BLOCO DE ANOTAÇÕES, TIMBRADO 100X1, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, FORMATO 14,5X11, IMPRESSÃO 4X0 PAPEL SULFITE 75 GRS, COLADO NA CABEÇA E GRAMPEADO.;UNIDADE;;500;6,85;475;CONSUMO
7;BLOCO DE ANOTAÇÕES, TIMBRADO 100X1, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, FORMATO 21X15, IMPRESSÃO 4X0 PAPEL SULFITE 75 GRS, COLADO NA CABEÇA E GRAMPEADO.;UNIDADE;;500;10,53;470;CONSUMO
8;BLOCO DE REQUISIÇÃO DE ABASTECIMENTO 50X2, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, FORMATO 16X11, IMPRESSÃO 4X0, PAPEL COPIATIVO, COLADO NA CABEÇA, GRAMPEADO, NUMERADO, PICOTADA A 1ª VIA.;UNIDADE;;250;10,63;250;CONSUMO
9;BLOCO DE REQUISIÇÃO DE LAVAGEM 50X2, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, FORMATO 16X11, IMPRESSÃO 4X0, PAPEL COPIATIVO, COLADO NA CABEÇA, GRAMPEADO, NUMERADO, PICOTADA A 1ª VIA.;UNIDADE;;125;15,34;125;CONSUMO
10;CALENDÁRIO DE MESA, BASE TAM 42X23CM,EM PAPELÃO , REVESTIDA NO PAPEL COUCHE 170GR, IMPRESSÃO 4X0,LAMINAÇÃO FOSCA FOLHAS EXTERNAS 26 PÁGINAS, TAM. 20X14CM, PAPEL COUCHÊ  210GR,IMPRESSÃO 4X4 ACABAMENTO EM WIRE - O, LAMINAÇÃO FOSCA E VERNIZ UV LOCALIZADO (LAMINAÇÃO FOSCA E VERNIZ LOCALIZADO EM TODAS AS PÁGINAS) COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES E INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;375;29,66;;CONSUMO
11;CAPA PARA PROCESSO, FORMATO A4, TIMBRADO COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, PLÁSTICO TRANSPARENTE E FLEXÍVEL, RESISTENTE. MEDIDAS 520MM X 365MM (ABERTA) COM ABAS INTERNAS DE 145MM CADA, LOMBADA DE 25MM E BOLSA CANGURU NA PARTE FRONTAL, DO MESMO MATERIAL, COM MEDIDA DE 240MM NA LATERAL E 300MM DE ALTURA, COLADA NA PARTE INFERIOR E NOS LADOS, COM PRESILHA PLÁSTICA, 2 PINOS, COM CONTRA CAPA EM PVC.;UNIDADE;;3750;27,18;2550;CONSUMO
12;CARIMBO  NUMERADOR SEQUENCIAL AUTOMÁTICO DE PÁGINAS, DE 0 À 12 REPETIÇÕES, ENTINTAMENTO AUTOMÁTICO, 6 DIGITOS.;UNIDADE;;13;491;9;CONSUMO
13;CARIMBOS AUTOMÁTICOS , TAMANHO 6,4 X4.0 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;122,74;10;CONSUMO
14;CARIMBOS AUTOMÁTICOS, TAMANHO 3,8 X1,4 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;81,82;12;CONSUMO
15;CARIMBOS AUTOMÁTICOS, TAMANHO 4 X 6,5 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;122,73;5;CONSUMO
16;CARIMBOS AUTOMÁTICOS, TAMANHO 7,6 X3,8 COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;38;92,05;6;CONSUMO
17;CARTÃO COMEMORATIVO, FORMATO 11 X 15,5 CM, PAPEL COUCHE BRILHO, 250 GRS, IMPRESSÃO 4X0, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES.;UNIDADE;;12500;0,21;10500;CONSUMO
18;CARTÃO DE VISITA, FORMATO 5X 9 CM IMPRESSÃO 4X0, PAPEL COUCHE 250 GRS, FRENTE E VERSO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES E INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;50000;0,18;43000;CONSUMO
19;CARTÃO PARA INDENTIFICAÇÃO DE AUTORIDADES, BRANCO FORMATO 15,5 CM X  11 CM, EM PAPEL CARTÃO LISO, BRANCO,300 GRS, CONTENDO AS SEGUINTES INFORMAÇÕES , CONFORME DESCRIÇÃO ABAIXO E SEU RESPECTIVO CAMPO PARA PREENCHIMENTO: AUTORIDADE, ENTIDADE, LOGO MARCA DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES.;UNIDADE;;2500;0,77;1000;CONSUMO
20;CARTILHA, FORMATO 15X21 CAPA E CONTRA. PAPEL COUCHE BRILHO COM VERNIZ LOCALIZADO 180 GRS, MIOLO EM PAPEL SULFITE 75GRS, 13 CADERNOS 52 PAGINAS 75 GRS IM. 4X1 ACABAMENTO LOMBADA, CANOA , GRAMPEADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES E INFORMAÇÕES/FOTOS A CRITÉRIO DA ADMINISTRAÇÃO.;UNIDADE;;250;51,14;190;CONSUMO
21;CRACHÁ DE INDENTIFICAÇÃO COM PROTEÇÃO, FORMATO 8,5X 5,5 CM. IMPRESSÃO 4X4 EM PVC COM FOTO DADOS PESSOAIS, CARGO MATRICULA DO FUNCIONÁRIO E COM LOGO DA CÂMARA MUNICIPAL DE LUIS EDUARDO.;UNIDADE;;250;28,63;170;CONSUMO
22;ENCADERNAÇÃO CAPA DE PLASTICO, SIMPLES E COM ESPIRAL FORMATO FOLHA A4.;UNIDADE;;125;7,48;90;CONSUMO
23;ENCADERNAÇÃO CAPA DURA FORMATO 21X30, COM TITULO DE INDENTIFICAÇÃO E TIBRE DA CÂMARA MUNICIPAL DE LUIS EDUARDO MAGALHÃES;UNIDADE;;500;79,78;400;CONSUMO
24;ENVELOPE BRANCO, TIMBRADO, COM LOGO DA CÂMARA MUNICIPAL DE LUÍS EDUARDO MAGALHÃES, TAMANHO 11,5 X16 , IMPRESSÃO 4X0, COM FACA, PAPEL OFFSET 150GR.;UNIDADE;;6250;1,23;4850;CONSUMO
