Item_Lote;PU;Qtd;Valor_linha_sistema;Diferenca_para_contabilidade;Valor_reconhecido_cenario_subset;No_subset_gap_1082
2;14.2;2;28,40;0,00;28,40;NAO
4;7.45;100;745,00;-745,00;0,00;SIM
16;19.7;20;394,00;0,00;394,00;NAO
21;31.2;15;468,00;0,00;468,00;NAO
22;27.6;15;414,00;0,00;414,00;NAO
27;7.4;10;74,00;-74,00;0,00;SIM
28;1.7;60;102,00;0,00;102,00;NAO
29;2.5;50;125,00;0,00;125,00;NAO
30;2.2;50;110,00;-110,00;0,00;SIM
31;2.8;30;84,00;0,00;84,00;NAO
32;2.8;30;84,00;0,00;84,00;NAO
34;15;10;150,00;-150,00;0,00;SIM
36;9.9;10;99,00;0,00;99,00;NAO
39;0.07;50;3,50;-3,50;0,00;SIM
40;0.28;50;14,00;0,00;14,00;NAO
41;2.4;15;36,00;0,00;36,00;NAO
43;3.3;30;99,00;0,00;99,00;NAO
45;11.99;20;239,80;0,00;239,80;NAO
50;0.29;30;8,70;0,00;8,70;NAO
53;11.9;15;178,50;0,00;178,50;NAO
54;6.7;20;134,00;0,00;134,00;NAO
55;26.9;200;5380,00;0,00;5380,00;NAO
56;2.9;65;188,50;0,00;188,50;NAO
57;15;25;375,00;0,00;375,00;NAO
60;1.38;50;69,00;0,00;69,00;NAO
61;0.71;25;17,75;0,00;17,75;NAO
66;4.2;60;252,00;0,00;252,00;NAO
67;4;60;240,00;0,00;240,00;NAO
68;2.7;40;108,00;0,00;108,00;NAO
70;3.4;30;102,00;0,00;102,00;NAO
71;6.5;15;97,50;0,00;97,50;NAO
75;56.7;15;850,50;0,00;850,50;NAO
77;5.5;70;385,00;0,00;385,00;NAO
80;2.55;50;127,50;0,00;127,50;NAO
81;4.23;50;211,50;0,00;211,50;NAO
82;9.9;50;495,00;0,00;495,00;NAO
85;12.9;20;258,00;0,00;258,00;NAO
86;2.45;24;58,80;0,00;58,80;NAO
87;3.9;24;93,60;0,00;93,60;NAO
88;4.9;24;117,60;0,00;117,60;NAO
89;6.8;50;340,00;0,00;340,00;NAO
92;9.9;20;198,00;0,00;198,00;NAO

TOTAL_SISTEMA;;;13556,15;-1082,50;12473,65;
